"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Document Type,Legal Status
546,WO,A1,WO 2020/161522 A1,163-297-827-566-995,2020-08-13,2020,IB 2019050940 W,2019-02-06,2019-02-06,FIBER-BASED COMPOSITION,THD SPA,DI LEO ALFREDO,,https://lens.org/163-297-827-566-995,Patent Application,PENDING
547,CN,A,CN 114350726 A,000-680-628-252-281,2022-04-15,2022,CN 202210026372 A,2022-01-11,2022-01-11,Method for synthesizing trehalose by taking cellulose as substrate,UNIV SOUTH CHINA SCIENCE & TECH,ZHENG SUIPING;;ZHENG YIWEN;;TANG SHIMING;;LIN YING,,https://lens.org/000-680-628-252-281,Patent Application,PENDING
548,TW,A,TW 202221130 A,034-004-737-779-883,2022-06-01,2022,TW 110129385 A,2021-08-10,2020-08-10,Cellular production of sialylated di- and/or oligosaccharides,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAA;;PETERS GERT;;VANDEWALLE KRISTOF,,https://lens.org/034-004-737-779-883,Patent of Addition,PENDING
549,WO,A3,WO 2022/219186 A3,025-699-785-360-590,2022-11-24,2022,EP 2022060179 W,2022-04-15,2021-04-16,FERMENTATIVE PRODUCTION,INBIOSE NV,BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS,,https://lens.org/025-699-785-360-590,Search Report,PENDING
550,RU,C1,RU 2746055 C1,107-854-831-694-250,2021-04-06,2021,RU 2020114858 A,2020-04-22,2020-04-22,METHOD FOR DIAGNOSING MUTATION C.-23+1G>A (RS80338940) OF THE GJB2 GENE,FEDERALNOE GOSUDARSTVENNOE AVTONOMNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA ROSSIJSKIJ N,LOLOMADZE ELENA ANATOLEVNA;;REBRIKOV DENIS VLADIMIROVICH,,https://lens.org/107-854-831-694-250,Granted Patent,ACTIVE
551,RU,C2,RU 2233329 C2,025-997-254-604-408,2004-07-27,2004,RU 99107670 A,1997-09-18,1996-09-20,"SYNTHETIC GENE ENCODING GREEN FLUORESCENT PROTEIN, METHOD FOR PREPARING GENE, EXPRESSING VECTOR, METHOD FOR PREPARING CELL CULTURE",,SID BRAJAN;;KHAAS JURGEN,,https://lens.org/025-997-254-604-408,Granted Patent,EXPIRED
552,CA,A1,CA 2805915 A1,149-556-744-913-089,2012-01-26,2012,CA 2805915 A,2011-07-22,2010-07-22,MULTIPLE INPUT BIOLOGIC CLASSIFIER CIRCUITS FOR CELLS,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY,BENENSON YAAKOV;;WEISS RON;;WROBLEWSKA LILIANA;;XIE ZHEN,,https://lens.org/149-556-744-913-089,Patent Application,ACTIVE
553,WO,A1,WO 2022/034071 A1,183-114-368-946-593,2022-02-17,2022,EP 2021072265 W,2021-08-10,2020-08-10,PRODUCTION OF A MIXTURE OF NEUTRAL NON-FUCOSYLATED OLIGOSACCHARIDES BY A CELL,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAÄ;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/183-114-368-946-593,Patent Application,PENDING
554,US,A1,US 2013/0202532 A1,006-769-328-622-753,2013-08-08,2013,US 201113811126 A,2011-07-22,2010-07-22,MULTIPLE INPUT BIOLOGIC CLASSIFIER CIRCUITS FOR CELLS,BENENSON YAAKOV;;WEISS RON;;WROBLEWSKA LILIANA;;XIE ZHEN;;MASSACHUSETTS INST TECHNOLOGY;;HARVARD COLLEGE,BENENSON YAAKOV;;WEISS RON;;WROBLEWSKA LILIANA;;XIE ZHEN,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (2013-02-28);;PRESIDENT AND FELLOWS OF HARVARD COLLEGE (2011-08-23),https://lens.org/006-769-328-622-753,Patent Application,ACTIVE
555,RU,C2,RU 2157816 C2,050-242-761-503-063,2000-10-20,2000,RU 94042726 A,1993-03-16,1992-03-16,"GENE (VARIANTS), GENE CLASTER (VARIANTS), PROTEIN (VARIANTS), SYNTHETIC POLYPEPTIDE",VASHINGTON UNIV;;ST LUIS UNIV,STEFEN DZH BARENKEHMP,,https://lens.org/050-242-761-503-063,Granted Patent,EXPIRED
556,WO,A2,WO 2012/012739 A2,194-159-038-904-110,2012-01-26,2012,US 2011/0045038 W,2011-07-22,2010-07-22,MULTIPLE INPUT BIOLOGIC CLASSIFIER CIRCUITS FOR CELLS,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY;;BENENSON YAAKOV;;WEISS RON;;XIE ZHEN;;WROBLEWSKA LILIANA,BENENSON YAAKOV;;WEISS RON;;WROBLEWSKA LILIANA,,https://lens.org/194-159-038-904-110,Patent Application,PENDING
557,CN,A,CN 113151349 A,184-030-382-154-486,2021-07-23,2021,CN 202011128283 A,2020-10-20,2020-10-20,Stress-resistant functional system AcSeDcDw for improving biological salt tolerance and drought resistance and application thereof,BIOTECHNOLOGY RES INST CAAS,LIN MIN;;WANG JING;;ZHOU ZHENGFU;;YAN YONGLIANG;;ZUO KAIJING,,https://lens.org/184-030-382-154-486,Patent Application,ACTIVE
558,AU,B2,AU 2011/280958 B2,032-101-067-595-920,2014-10-09,2014,AU 2011/280958 A,2011-07-22,2010-07-22,Multiple input biologic classifier circuits for cells,MASSACHUSETTS INST TECHNOLOGY;;HARVARD COLLEGE,BENENSON YAAKOV;;WEISS RON;;XIE ZHEN;;WROBLEWSKA LILIANA,,https://lens.org/032-101-067-595-920,Granted Patent,ACTIVE
559,CN,A,CN 105969714 A,077-809-970-128-532,2016-09-28,2016,CN 201610362606 A,2016-05-27,2016-05-27,Xiamenensis mycin high-producing strain and culture medium and application thereof,UNIV SHANGHAI JIAOTONG,XU DUN;;HU XIAOYAN;;XU MINJUAN;;BU XULIANG;;YU HELIN,,https://lens.org/077-809-970-128-532,Patent Application,ACTIVE
560,CN,A,CN 104293814 A,182-303-886-624-902,2015-01-21,2015,CN 201410012581 A,2014-01-09,2014-01-09,"Diapause hormone fusion gene, fusion protein, preparation method and application",UNIV HENAN SCIENCE & TECH,ZHOU ZHOU;;LI YONGLI;;YUAN CHUNYAN;;WANG PANPAN;;LI HONGYING,,https://lens.org/182-303-886-624-902,Patent Application,DISCONTINUED
561,WO,A2,WO 2022/219186 A2,186-049-408-194-519,2022-10-20,2022,EP 2022060179 W,2022-04-15,2021-04-16,FERMENTATIVE PRODUCTION,INBIOSE NV,BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS,,https://lens.org/186-049-408-194-519,Patent Application,PENDING
562,US,B2,US 11065840 B2,177-114-379-589-416,2021-07-20,2021,US 201615553113 A,2016-02-25,2015-02-25,Structures and methods of manufacturing structures using biological based materials,CHURCH RYAN;;BIOMERENEWABLES INC,CHURCH RYAN,BIOMERENEWABLES INC (2020-07-16),https://lens.org/177-114-379-589-416,Granted Patent,ACTIVE
563,US,A1,US 2010/0256335 A1,160-334-645-127-773,2010-10-07,2010,US 22385106 A,2006-05-04,2006-02-09,Method of Hydrolysis of Peptide Bond,INST BIOCHEMII I BIOFIZYKI PAN,BAL WOJCIECH;;KOPERA EDYTA;;KREZEL ARTUR;;WYSLOUCH-CIESZYNSKA ALEKSANDRA,INSTYTUT BIOCHEMII I BIOFIZYKI PAN (2009-04-29),https://lens.org/160-334-645-127-773,Patent Application,INACTIVE
564,WO,A2,WO 2008/021493 A2,097-274-222-372-887,2008-02-21,2008,US 2007/0018258 W,2007-08-17,2006-08-18,A PROCESS FOR IDENTIFICATION OF MOLECULAR MIMICRY AND THE USES THEREOF,WANG HUIRU,WANG HUIRU,,https://lens.org/097-274-222-372-887,Patent Application,PENDING
565,WO,A1,WO 2017/039596 A1,141-237-839-592-135,2017-03-09,2017,US 2015/0047623 W,2015-08-30,2015-08-30,"EXPANDABLE INTERVERTEBRAL CAGE WITH LIVING HINGES APPARATUS, SYSTEMS AND METHODS OF MANUFACTURE THEREOF",LORIO MORGAN PACKARD,LORIO MORGAN PACKARD,,https://lens.org/141-237-839-592-135,Patent Application,PENDING
566,WO,A1,WO 2011/107741 A1,173-230-140-777-75X,2011-09-09,2011,GB 2011000292 W,2011-03-03,2010-03-05,HERBICIDAL COMPOSITION COMPRISING A MIXTURE OF A FIRST HERBICIDE AND PINOXADEN,SYNGENTA PARTICIPATIONS AG;;SYNGENTA LTD;;DE HEER MARTINE INGRID;;CORDINGLEY MATTHEW ROBERT;;LE GOUPIL GAEL ANNE;;FORMSTONE CARL ANDREW,DE HEER MARTINE INGRID;;CORDINGLEY MATTHEW ROBERT;;LE GOUPIL GAEL ANNE;;FORMSTONE CARL ANDREW,,https://lens.org/173-230-140-777-75X,Patent Application,PENDING
567,US,A1,US 2018/0037000 A1,190-243-875-318-57X,2018-02-08,2018,US 201615553113 A,2016-02-25,2015-02-25,STRUCTURES AND METHODS OF MANUFACTURING STRUCTURES USING BIOLOGICAL BASED MATERIALS,CHURCH RYAN,CHURCH RYAN,BIOMERENEWABLES INC (2020-07-16),https://lens.org/190-243-875-318-57X,Patent Application,ACTIVE
568,EP,B1,EP 3293220 B1,086-392-779-441-710,2020-11-25,2020,EP 17192727 A,2013-10-25,2012-10-25,HYDROGEL NETWORK,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,,https://lens.org/086-392-779-441-710,Granted Patent,ACTIVE
569,CN,A,CN 103243066 A,118-070-323-614-326,2013-08-14,2013,CN 201310209514 A,2013-05-30,2013-05-30,Bacterial strain for producing lycopene and application of bacterial strain,UNIV WUHAN,LIU TIANGANG;;ZHU FAYIN;;DENG ZIXIN,,https://lens.org/118-070-323-614-326,Patent Application,ACTIVE
570,CN,A,CN 110283099 A,104-225-073-534-379,2019-09-27,2019,CN 201910664635 A,2019-07-23,2019-07-23,Synthetic method and application of disalicylaldehyde 6-amino-m-cresol schiff base,UNIV HARBIN SCIENCE & TECH,LIU BO;;FENG JUNKAI;;WU WENJU;;YOU JUN;;JING JUNKAI,,https://lens.org/104-225-073-534-379,Patent Application,ACTIVE
571,CN,A,CN 102911955 A,049-380-259-200-657,2013-02-06,2013,CN 201210410156 A,2012-10-24,2012-10-24,Synthetic human enterokinase gene and expression and purification method thereof,UNIV SHANXI,NIU LIXI;;YANG BINSHENG;;SHI YAWEI;;LI JIAO;;JI XUEXUE,,https://lens.org/049-380-259-200-657,Patent Application,INACTIVE
572,CN,A,CN 103243065 A,069-382-775-798-75X,2013-08-14,2013,CN 201310209421 A,2013-05-30,2013-05-30,Bacterial strain for producing farnesene and application of bacterial strain,UNIV WUHAN,LIU TIANGANG;;ZHU FAYIN;;DENG ZIXIN,,https://lens.org/069-382-775-798-75X,Patent Application,ACTIVE
573,CN,A,CN 106635023 A,138-982-064-564-754,2017-05-10,2017,CN 201611127921 A,2016-12-09,2016-12-09,Synthetic method of chiral quantum rod based on circular polarized light,UNIV JIANGNAN;;DELISI GROUP LTD,XU CHUANLAI;;HAO TIANTIAN;;KUANG HUA;;XU LIGUANG;;MA WEI;;WU XIAOLING;;LIU LIQIANG;;SONG SHANSHAN;;ZHENG QIANKUN,,https://lens.org/138-982-064-564-754,Patent Application,ACTIVE
574,AU,A1,AU 2018/343309 A1,007-494-189-380-649,2020-04-16,2020,AU 2018/343309 A,2018-09-28,2017-09-29,Modular dna assembly system,VICTORIA LINK LTD,PARKER EMILY JANE;;NICHOLSON MATTHEW JOSEPH;;VAN DOLLEWEERD CRAIG JOHN,,https://lens.org/007-494-189-380-649,Patent Application,PENDING
575,GB,A,GB 900908 A,075-962-038-037-49X,1962-07-11,1962,GB 417260 A,1960-02-05,1960-02-05,Apparatus for use in treatment of the first toe joint,LAB FOR APPLIED BIOLOGY LTD;;JOHN GORDON MACDONALD,,,https://lens.org/075-962-038-037-49X,Granted Patent,EXPIRED
576,CN,A,CN 113817739 A,172-070-818-991-236,2021-12-21,2021,CN 202111257349 A,2021-10-27,2021-10-27,Paracoccus denitrificans oxygen inducible promoter,UNIV JIANGNAN,DENG YU;;ZHOU SHENGHU;;NIU XIAOQIAN;;LI GUOHUI;;MAO YIN;;ZHAO YUNYING,,https://lens.org/172-070-818-991-236,Patent Application,PENDING
577,WO,A1,WO 2019/243092 A1,154-901-480-380-834,2019-12-26,2019,EP 2019065020 W,2019-06-07,2018-06-19,GENETIC SELECTION MARKERS BASED ON ENZYMATIC ACTIVITIES OF THE PYRIMIDINE SALVAGE PATHWAY,MEDIZINISCHE UNIV INNSBRUCK,GSALLER FABIO;;HAAS HUBERTUS,,https://lens.org/154-901-480-380-834,Patent Application,PENDING
578,CN,A,CN 110042079 A,009-239-250-131-903,2019-07-23,2019,CN 201910305686 A,2019-04-16,2019-04-16,Culture medium for culturing mesenchymal stem cells,UNIV SHENZHEN,XU JIANYONG,,https://lens.org/009-239-250-131-903,Patent Application,PENDING
579,US,A1,US 2018/0096751 A1,078-434-306-515-68X,2018-04-05,2018,US 201715788441 A,2017-10-19,2012-10-25,HYDROGEL NETWORK,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,OXFORD UNIVERSITY INNOVATION LIMITED (2015-06-17),https://lens.org/078-434-306-515-68X,Patent Application,ACTIVE
580,CN,B,CN 101058437 B,047-048-640-340-862,2010-10-06,2010,CN 200710100550 A,2007-04-10,2007-04-10,Liquid state preparation method for nano cadmium sulfide hollow sphere,UNIV ANHUI,CUN LI;;ZHENYU WU;;HONGYAO XU,,https://lens.org/047-048-640-340-862,Granted Patent,INACTIVE
581,CN,A,CN 112501043 A,025-144-152-745-184,2021-03-16,2021,CN 202011508479 A,2020-12-18,2020-12-18,Saccharomyces cerevisiae engineering bacteria for producing geranyl geraniol and construction method and application thereof,UNIV JIANGNAN,SHI GUIYANG;;WANG JUNHUA;;LI YOURAN;;ZHU HUILIN;;ZHANG LIANG;;DING CHONGYANG;;XU SHA;;GU ZHENGHUA,,https://lens.org/025-144-152-745-184,Patent Application,ACTIVE
582,RU,C1,RU 2662664 C1,099-210-509-511-223,2018-07-26,2018,RU 2017128335 A,2017-07-31,2017-07-31,SET OF SYNTHETIC OLIGONUCLEOTIDES FOR METHYL-SENSITIVE DNA AMPLIFICATION,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA ALTAJSKIJ G,SKAPTSOV MIKHAIL VIKTOROVICH;;KUTSEV MAKSIM GENNADEVICH;;UVAROVA OLGA VASILEVNA,,https://lens.org/099-210-509-511-223,Granted Patent,ACTIVE
583,CN,A,CN 106191088 A,190-917-780-014-694,2016-12-07,2016,CN 201610609685 A,2016-07-28,2016-07-28,Method for recombining plasmid expression system to Escherichia coli chromosome through optimization,UNIV BEIJING,CHANG ZENGYI;;LIU YANG;;YU JIAYU,,https://lens.org/190-917-780-014-694,Patent Application,ACTIVE
584,US,A1,US 2021/0032635 A1,107-274-798-234-496,2021-02-04,2021,US 201816651043 A,2018-09-28,2017-09-29,MODULAR DNA ASSEMBLY SYSTEM,VICTORIA LINK LTD,PARKER EMILY JANE;;NICHOLSON MATTHEW JOSEPH;;VAN DOLLEWEERD CRAIG JOHN,VICTORIA LINK LIMITED (2018-06-26),https://lens.org/107-274-798-234-496,Patent Application,PENDING
585,EP,A3,EP 2213741 A3,134-212-226-371-378,2010-11-17,2010,EP 10153371 A,2004-03-31,2003-03-31,Compositions and methods of using a synthetic DNAse I,AMBION INC,LATHAM GARY;;KEMPPAINEN JON,LIFE TECHNOLOGIES CORPORATION (2011-11-30),https://lens.org/134-212-226-371-378,Search Report,DISCONTINUED
586,US,A1,US 2015/0248949 A1,041-538-935-279-10X,2015-09-03,2015,US 201314438345 A,2013-10-25,2012-10-25,HYDROGEL NETWORK,ISIS INNOVATION,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,OXFORD UNIVERSITY INNOVATION LIMITED (2015-06-17),https://lens.org/041-538-935-279-10X,Patent Application,ACTIVE
587,EP,A2,EP 2213741 A2,177-332-968-730-997,2010-08-04,2010,EP 10153371 A,2004-03-31,2003-03-31,Compositions and methods of using a synthetic DNAse I,AMBION INC,LATHAM GARY;;KEMPPAINEN JON,LIFE TECHNOLOGIES CORPORATION (2011-11-30),https://lens.org/177-332-968-730-997,Patent Application,DISCONTINUED
588,US,B2,US 9831010 B2,192-657-293-371-250,2017-11-28,2017,US 201314438345 A,2013-10-25,2012-10-25,Hydrogel network,ISIS INNOVATION;;UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,OXFORD UNIVERSITY INNOVATION LIMITED (2015-06-17),https://lens.org/192-657-293-371-250,Granted Patent,ACTIVE
589,WO,A1,WO 2022/034077 A1,000-124-808-230-728,2022-02-17,2022,EP 2021072271 W,2021-08-10,2020-08-10,"PRODUCTION OF ALPHA-1,3 GLYCOSYLATED FORM OF FUC-A1,2-GAL-R",INBIOSE NV,COUSSEMENT PIETER;;AESAERT SOFIE;;BEAUPREZ JOERI;;DECOENE THOMAS;;LANNOO NAUSICAÄ;;PETERS GERT;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/000-124-808-230-728,Patent Application,PENDING
590,CN,A,CN 101058437 A,020-004-539-507-360,2007-10-24,2007,CN 200710100550 A,2007-04-10,2007-04-10,Liquid state preparation method for nano cadmium sulfide hollow sphere,UNIV ANHUI,LI CUN WU,,https://lens.org/020-004-539-507-360,Patent Application,INACTIVE
591,WO,A1,WO 2019/064242 A1,030-826-149-364-830,2019-04-04,2019,IB 2018057527 W,2018-09-28,2017-09-29,MODULAR DNA ASSEMBLY SYSTEM,VAN DOLLEWEERD CRAIG JOHN;;VICTORIA LINK LTD,VAN DOLLEWEERD CRAIG JOHN;;PARKER EMILY JANE;;NICHOLSON MATTHEW JOSEPH,,https://lens.org/030-826-149-364-830,Patent Application,PENDING
592,WO,A2,WO 2014/064459 A2,104-626-885-394-532,2014-05-01,2014,GB 2013052794 W,2013-10-25,2012-10-25,HYDROGEL NETWORK,ISIS INNOVATION,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,,https://lens.org/104-626-885-394-532,Patent Application,PENDING
593,CN,A,CN 112251427 A,010-929-765-762-273,2021-01-22,2021,CN 202011141392 A,2020-10-22,2020-10-22,"Sesquiterpene synthase IlTPS1, coding nucleotide sequence and application of coding nucleotide sequence",AGRICULTURAL GENOMICS INST AT SHENZHEN CHINA ACADEMY OF AGRICULTURAL SCIENCES,GOU JUNBO;;SHANG YI;;HUANG SANWEN;;LU DAJUN,,https://lens.org/010-929-765-762-273,Patent Application,ACTIVE
594,US,B2,US 10978218 B2,148-703-895-885-055,2021-04-13,2021,US 201715788441 A,2017-10-19,2012-10-25,Hydrogel network,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,OXFORD UNIVERSITY INNOVATION LIMITED (2015-06-17),https://lens.org/148-703-895-885-055,Granted Patent,ACTIVE
595,US,A1,US 2007/0269858 A1,161-566-629-717-748,2007-11-22,2007,US 76396607 A,2007-06-15,1999-01-05,Combinatorial Biology,JARRELL KEVIN A;;SHAIR MATTHEW D,JARRELL KEVIN A;;SHAIR MATTHEW D,TRUSTEES OF BOSTON UNIVERSITY (2000-04-28);;PRESIDENT AND FELLOWS OF HARVARD COLLEGE (2008-11-18),https://lens.org/161-566-629-717-748,Patent Application,DISCONTINUED
596,CN,A,CN 113151293 A,026-356-912-013-121,2021-07-23,2021,CN 202011126526 A,2020-10-20,2020-10-20,"Stress-resistant gene line AcDwEm and application thereof in improving salt tolerance, drought resistance and high temperature resistance of crops",BIOTECHNOLOGY RES INST CAAS,GU XIAOFENG;;LIN MIN;;WANG JING;;ZHOU ZHENGFU;;YAN YONGLIANG;;ZUO KAIJING,,https://lens.org/026-356-912-013-121,Patent Application,ACTIVE
597,RU,C1,RU 2649064 C1,098-250-017-720-387,2018-04-02,2018,RU 2016148236 A,2016-12-08,2016-12-08,"SET OF SYNTHETIC OLIGONUCLEOTIDES FOR DETERMINATION OF SEQUENCE OF 1 INTRON, ADJACENT TO 2 EXON, GENES OF HLA I AND II CLASS SYSTEM (HLA-A AND HLA-DRB1)",OBSHCHESTVO S OGRANICHENNOJ OTVETSTVENNOSTYU NAUCHNO PROIZVODSTVENNAYA FIRMA DNK TEKH OOO NPF DNK TE,PARAMONOV IGOR VLADIMIROVICH;;TROFIMOV DMITRIJ YUREVICH;;LOGINOVA MARIYA ALEKSANDROVNA;;YANKEVICH TATYANA EDUARDOVNA,,https://lens.org/098-250-017-720-387,Granted Patent,ACTIVE
598,CN,A,CN 115637269 A,074-347-531-965-803,2023-01-24,2023,CN 202211502702 A,2022-11-29,2022-11-29,Multi-cistronic spacer region element and application thereof in plant breeding,BIOTECHNOLOGY RES INST CAAS,XU YUQUAN;;YUE QUN;;LIU XIAOQING;;MA XUHUI;;CHEN RUMEI;;LI SUZHEN,,https://lens.org/074-347-531-965-803,Patent Application,PENDING
599,EP,A3,EP 3293220 A3,110-482-476-760-519,2018-04-04,2018,EP 17192727 A,2013-10-25,2012-10-25,HYDROGEL NETWORK,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,,https://lens.org/110-482-476-760-519,Search Report,ACTIVE
600,WO,A3,WO 2014/064459 A3,114-629-127-005-231,2014-08-21,2014,GB 2013052794 W,2013-10-25,2012-10-25,HYDROGEL NETWORK,ISIS INNOVATION,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,,https://lens.org/114-629-127-005-231,Search Report,PENDING
601,EP,A2,EP 3293220 A2,049-422-837-902-152,2018-03-14,2018,EP 17192727 A,2013-10-25,2012-10-25,HYDROGEL NETWORK,UNIV OXFORD INNOVATION LTD,BAYLEY JOHN HAGAN PRYCE;;SAPRA KUNWAR TANUJ,,https://lens.org/049-422-837-902-152,Patent Application,ACTIVE
602,CN,A,CN 109576285 A,133-089-518-275-348,2019-04-05,2019,CN 201811595512 A,2018-12-25,2018-12-25,Prunus PsMYB18 gene and coding protein and application thereof,POMOLOGY RES INST FUJIAN ACAD AGRICULTURAL SCI,FANG ZHIZHEN;;YE XINFU;;ZHOU DANRONG;;JIANG CUICUI,,https://lens.org/133-089-518-275-348,Patent Application,DISCONTINUED
603,WO,A1,WO 2022/034080 A1,111-563-690-709-176,2022-02-17,2022,EP 2021072274 W,2021-08-10,2020-08-10,CELLULAR PRODUCTION OF SIALYLATED DI- AND/OR OLIGOSACCHARIDES,INBIOSE NV,AESAERT SOFIE;;BEAUPREZ JOERI;;COUSSEMENT PIETER;;DECOENE THOMAS;;LANNOO NAUSICAÄ;;PETERS GERT;;VANDEWALLE KRISTOF,,https://lens.org/111-563-690-709-176,Patent Application,PENDING
604,CN,A,CN 103910768 A,155-270-598-224-042,2014-07-09,2014,CN 201210594037 A,2012-12-29,2012-12-29,"6-aminolactose, preparation and application thereof",YANTAI INST COASTAL ZONE RES CAS,GUO ZHANYONG;;FENG YAN;;REN JIANMING,,https://lens.org/155-270-598-224-042,Patent Application,ACTIVE
605,CN,A,CN 109628481 A,178-334-486-433-784,2019-04-16,2019,CN 201910001505 A,2019-01-02,2019-01-02,Construction and application of soybean fatty acid desaturase multigene CRISPR/Cas9 carrier,UNIV JILIN AGRICULTURAL,WANG PIWU;;WU NAN;;QU JING;;ZHANG ZHUO;;LIU SIYAN;;GUAN SHUYAN;;WANG NAN;;BO XIAOXUE;;MA TONG,,https://lens.org/178-334-486-433-784,Patent Application,DISCONTINUED
606,WO,A1,WO 2021/160829 A1,048-193-261-066-637,2021-08-19,2021,EP 2021053499 W,2021-02-12,2020-02-14,VIABLE BACTERIAL HOST CELL,INBIOSE NV,BEAUPREZ JOERI;;DE MAESENEIRE SOFIE;;SNOECK NICO,,https://lens.org/048-193-261-066-637,Patent Application,PENDING
607,CN,A,CN 110358777 A,165-350-771-573-805,2019-10-22,2019,CN 201910684482 A,2019-07-26,2019-07-26,Locusta migratoria HMGR gene and application of dsRNA of gene in locusta migratoria prevention and control,UNIV HENAN,ZENG BAOJUAN;;SONG JIASHENG;;ZHOU SHUTANG;;LI WANWAN,,https://lens.org/165-350-771-573-805,Patent Application,ACTIVE
608,CN,A,CN 115725675 A,132-401-236-533-078,2023-03-03,2023,CN 202210840485 A,2022-07-18,2022-07-18,Biosynthesis method and application of long-fragment gene,TIANJIN ZHONGHE GENE TECH CO LTD,LU XIAOYUN;;ZHANG HONGYU,,https://lens.org/132-401-236-533-078,Patent Application,PENDING
609,WO,A1,WO 2017/214574 A1,175-614-574-019-222,2017-12-14,2017,US 2017/0036868 W,2017-06-09,2016-06-10,SYSTEMS AND METHODS FOR AUTOMATED ANNOTATION AND SCREENING OF BIOLOGICAL SEQUENCES,TWIST BIOSCIENCE CORP,DIGGANS JAMES,,https://lens.org/175-614-574-019-222,Patent Application,PENDING
610,WO,A3,WO 2004/090114 A3,038-942-992-760-30X,2006-03-30,2006,US 2004/0009955 W,2004-03-31,2003-03-31,COMPOSITIONS AND METHODS OF USING A SYNTHETIC DNASE I,AMBION INC;;LATHAM GARY;;KEMPPAINEN JON,LATHAM GARY;;KEMPPAINEN JON,,https://lens.org/038-942-992-760-30X,Search Report,PENDING
611,CN,A,CN 112852857 A,004-551-499-984-56X,2021-05-28,2021,CN 202110165340 A,2021-02-06,2021-02-06,Method for knocking out multiple genes in gluconobacter oxydans,UNIV JIANGNAN,ZHOU JINGWEN;;QIN ZHIJIE;;YANG YUTONG;;LI JIANGHUA;;CHEN JIAN;;ZENG WEIZHU;;DU GUOCHENG,,https://lens.org/004-551-499-984-56X,Patent Application,PENDING
612,US,B2,US 7067298 B2,064-558-945-416-385,2006-06-27,2006,US 42034503 A,2003-04-22,2003-03-31,Compositions and methods of using a synthetic Dnase I,AMBION INC,LATHAM GARY;;KEMPPAINEN JON,APPLIED BIOSYSTEMS LLC (2008-11-21);;AMBION INC (2003-05-15);;APPLIED BIOSYSTEMS INC (2008-07-01),https://lens.org/064-558-945-416-385,Granted Patent,ACTIVE
613,US,A1,US 2022/0259631 A1,057-859-489-052-885,2022-08-18,2022,US 202017627088 A,2020-07-16,2019-07-19,PRODUCTION OF FUCOSYLLACTOSE IN HOST CELLS,INBIOSE NV,BEAUPREZ JOERI;;LANNOO NAUSICAÄ;;VANDEWALLE KRISTOF;;VERCAUTEREN ANNELIES,,https://lens.org/057-859-489-052-885,Patent Application,PENDING
614,CN,A,CN 113881676 A,100-087-606-080-763,2022-01-04,2022,CN 202111257340 A,2021-10-27,2021-10-27,Paracoccus denitrificans nitrate inducible promoter,UNIV JIANGNAN,DENG YU;;ZHOU SHENGHU;;NIU XIAOQIAN;;MAO YIN;;ZHAO YUNYING;;LI GUOHUI,,https://lens.org/100-087-606-080-763,Patent Application,PENDING
615,WO,A1,WO 2022/268093 A1,161-889-298-581-757,2022-12-29,2022,CN 2022100273 W,2022-06-22,2021-06-23,"BIOLOGICAL SEED COATING AGENT BASED ON TRICHODERMA-BACILLUS SEQUENTIAL INOCULATION SYMBIOTIC CULTURE FERMENTATION LIQUOR, AND PREPARATION METHOD THEREFOR",UNIV SHANGHAI JIAOTONG,CHEN JIE;;LIU PENG;;WANG XINHHUA,,https://lens.org/161-889-298-581-757,Patent Application,PENDING
