"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
553,WO,A1,WO 2022/178741 A1,018-240-887-593-085,2022-09-01,2022,CN 2021077808 W,2021-02-25,2021-02-25,"METHOD FOR CONSTRUCTING BIFUNCTIONAL REGULATORY ELEMENTS CAPABLE OF BOTH PROMOTION AND TERMINATION, AND LIBRARY OF BIFUNCTIONAL ELEMENTS",UNIV SHIHEZI,ZHANG GENLIN;;LIU ZHENGYANG;;NI XIAOXIA;;ZHANG YAN,,https://lens.org/018-240-887-593-085,PENDING
554,CN,A,CN 104357048 A,088-283-865-407-586,2015-02-18,2015,CN 201410610062 A,2014-11-04,2014-11-04,"Carbon quantum dot sensor with copper ion and cysteine recognition functions, preparation method and application thereof",UNIV HUNAN SCI & TECHNOLOGY,CHEN JIAN;;LI YA;;ZHONG WEIBANG;;LYU KUN;;WANG HONG;;LIAO BO;;YI PINGGUI,,https://lens.org/088-283-865-407-586,INACTIVE
555,CN,A,CN 109652417 A,026-797-852-914-705,2019-04-19,2019,CN 201811542085 A,2018-12-17,2018-12-17,Method for constructing high-efficiency bacillus subtilis promoter,UNIV JIANGNAN,ZHOU ZHEMIN;;CUI WENJING;;HAN LAICHUANG;;LIU ZHONGMEI;;ZHOU LI;;GUO JUNLING;;YAN YU,,https://lens.org/026-797-852-914-705,ACTIVE
556,CN,A,CN 106434704 A,120-348-790-001-399,2017-02-22,2017,CN 201610167900 A,2016-03-24,2016-03-24,Cytochrome P450 gene CYP76AH12 involved in tanshinone compound biosynthesis and coding product and application thereof,INST OF MEDICINAL PLANT DEV CHINESE ACAD OF MEDICAL SCIENCES,SUN CHAO;;ZOU LIQIU;;CHEN SHILIN,,https://lens.org/120-348-790-001-399,ACTIVE
557,CN,U,CN 207175594 U,142-759-992-250-427,2018-04-03,2018,CN 201721063484 U,2017-08-24,2017-08-24,Multi -functional quality of water promotes view device,NANJING RISEN ENVIRONMENTAL TECH CO LTD,CAO JIANFENG;;WANG ZHIQIANG;;YU WEIJIE;;LU LIFENG;;SHEN JIE;;LU JIANZHONG;;PENG YAFU,,https://lens.org/142-759-992-250-427,INACTIVE
558,CN,A,CN 113881677 A,067-391-183-944-129,2022-01-04,2022,CN 202111259893 A,2021-10-28,2021-10-28,Yarrowia lipolytica hybrid promoter and application thereof,UNIV HUAZHONG SCIENCE TECH,YAN YUNJUN;;LI WENJUAN;;ZHOU QINGHUA;;JIAO LIANGCHENG;;LI YUNCHONG;;ZHU MENGQIN;;YANG MIN,,https://lens.org/067-391-183-944-129,PENDING
559,CN,A,CN 109745934 A,159-475-248-411-74X,2019-05-14,2019,CN 201910204909 A,2019-03-18,2019-03-18,Array synthesizing device and ink jet synthesizer,INST MILITARY MEDICINE ACADEMY MILITARY SCIENCES PLA,WANG SHENGQI;;XIAO RUI;;RONG ZHEN;;ZHANG LIJIE;;LIU LIYAN;;PENG YONGJIN,,https://lens.org/159-475-248-411-74X,PENDING
560,CN,A,CN 107739735 A,181-485-301-954-636,2018-02-27,2018,CN 201710849944 A,2017-09-20,2017-09-20,Eukaryotic promoter and preparation method and application thereof,UNIV SOUTHEAST,WANG JINKE;;WANG DANYANG,,https://lens.org/181-485-301-954-636,ACTIVE
561,CN,A,CN 114990041 A,029-150-456-809-438,2022-09-02,2022,CN 202210688542 A,2022-06-17,2022-06-17,Genetically engineered bacterium for producing 3-hydracrylic acid as well as construction method and application of genetically engineered bacterium,UNIV JIANGSU,QI XIANGHUI;;DOU YUAN;;ZHANG YUFEI;;ZHAO MEI;;ZHAI BIDE;;YUVA;;SUN LEI,,https://lens.org/029-150-456-809-438,PENDING
562,CN,A,CN 111690662 A,186-954-463-563-209,2020-09-22,2020,CN 202010497098 A,2020-06-03,2020-06-03,Application of soybean bHLH transcription factor GmPIF1 gene in promoting isoflavone synthesis,UNIV JILIN,WANG QINGYU;;WANG TIANLIANG;;LIU YAJING;;WANG YING;;LI JINGWEN;;YAN FAN;;WANG SHUO;;ZHANG XINSHENG;;YANG XUGUANG,,https://lens.org/186-954-463-563-209,ACTIVE
563,WO,A1,WO 2016/112090 A1,161-080-177-287-774,2016-07-14,2016,US 2016/0012311 W,2016-01-06,2015-01-07,MICROFLUIDIC DEVICES AND METHODS OF MAKING THE SAME,CARBON3D INC,DESIMONE JOSEPH M,,https://lens.org/161-080-177-287-774,PENDING
564,WO,A1,WO 2020/170268 A1,157-166-093-379-367,2020-08-27,2020,IN 2020050149 W,2020-02-17,2019-02-19,APREMILAST LIPOPHILIC TOPICAL PHARMACEUTICAL COMPOSITIONS,SARUDBHAVA FORMULATIONS PRIVATE LTD,SREEDHARALA VENKATA NOOKARAJU;;MANAKKOTE RAMDAS;;KALAKOTI SRIKANTH,,https://lens.org/157-166-093-379-367,PENDING
565,CN,A,CN 112501088 A,017-610-502-961-06X,2021-03-16,2021,CN 202011595259 A,2020-12-29,2020-12-29,"Bacillus, hyaluronidase produced by Bacillus and production method",UNIV CHONGQING MEDICAL,TU ZENG,,https://lens.org/017-610-502-961-06X,PENDING
566,CN,A,CN 111978219 A,180-466-870-673-789,2020-11-24,2020,CN 202010790715 A,2020-08-07,2020-08-07,Method for synthesizing diarylthioether compound by using manganese oxide molecular sieve doped copper catalyst,UNIV CHINA THREE GORGES CTGU,WANG LONG;;YU SHAOQIANG;;LIU NA;;LUO XIANGHAO;;LIU XIANG,,https://lens.org/180-466-870-673-789,ACTIVE
567,CN,A,CN 106674316 A,194-060-319-752-90X,2017-05-17,2017,CN 201611182198 A,2016-12-20,2016-12-20,Preparation method of novel nucleoside derivatives,UNIV JIANGNAN,ZHENG CHANGGE;;ZHANG XIAOXIAO;;LIU YANG,,https://lens.org/194-060-319-752-90X,DISCONTINUED
568,CN,A,CN 114015554 A,117-009-595-333-385,2022-02-08,2022,CN 202111412929 A,2021-11-25,2021-11-25,High-throughput monoclonal automatic selection module,INNOVEL INTELLIGENT TECH SUZHOU CO LTD,CHEN HAO;;YANG KAILIN,,https://lens.org/117-009-595-333-385,PENDING
569,CN,A,CN 106834252 A,160-479-222-740-08X,2017-06-13,2017,CN 201710092367 A,2017-02-21,2017-02-21,High stable type MazF mutant and application thereof,INST PHARMACOLOGY & TOXICOLOGY ACAD MILITARY MEDICAL SCIENCES PLA CHINA;;UNIV CHINA PHARMA,CHE YONGSHENG;;DU XIANLI;;XIONG JIANWEI;;CHEN YIJUN,,https://lens.org/160-479-222-740-08X,ACTIVE
570,US,B1,US 6432712 B1,197-983-139-376-390,2002-08-13,2002,US 59571700 A,2000-06-16,1999-11-22,Transplantable recellularized and reendothelialized vascular tissue graft,BIOSCIENCE CONSULTANTS LLC,WOLFINBARGER JR LLOYD,BIOSCIENCE CONSULTANTS LLC (2002-06-13),https://lens.org/197-983-139-376-390,EXPIRED
571,RU,C2,RU 2305109 C2,021-448-122-765-835,2007-08-27,2007,RU 2003104977 A,2002-03-15,2001-03-15,"UROCORTIN-III, ITS ANALOG (VARIANTS) AND PHARMACEUTICAL COMPOSITION",RES DEV FOUNDATION,VEHJL UAJLI V ML;;RIV ER ZHAN E;;KUNITAKE KOITI S;;L JUIS KEHTI EH;;PERRIN MEHRILIN G;;DZHULIAS DZHOZEF,,https://lens.org/021-448-122-765-835,EXPIRED
572,CA,C,CA 2886893 C,065-509-181-452-612,2019-05-07,2019,CA 2886893 A,2013-09-29,2012-09-29,METHOD FOR PRODUCING STEVIOSIDE COMPOUNDS BY MICROORGANISM,SHANGHAI INST BIOLOGICAL SCIENCES CAS,WANG YONG;;XIONG ZHIQIANG;;LI SHIYUAN;;WANG JIANFENG,,https://lens.org/065-509-181-452-612,ACTIVE
573,CN,A,CN 114854780 A,117-268-406-538-880,2022-08-05,2022,CN 202210386334 A,2022-04-13,2022-04-13,Method for efficiently synthesizing riboflavin based on balanced gene expression,UNIV JIANGNAN,RAO ZHIMING;;YOU JIAJIA;;YANG TAOWEI;;PAN XUEWEI;;ZHANG XIAN;;SEO MI-YEON,,https://lens.org/117-268-406-538-880,PENDING
574,WO,A1,WO 2022/218292 A1,076-681-654-964-532,2022-10-20,2022,CN 2022086279 W,2022-04-12,2021-04-13,INTERLEUKIN-2 MUTANT AND APPLICATION THEREOF,SUZHOU FORLONG BIOTECHNOLOGY CO LTD,JI EN;;WANG CHUNYU;;WU YANLING,,https://lens.org/076-681-654-964-532,PENDING
575,CN,A,CN 114350660 A,015-894-646-082-050,2022-04-15,2022,CN 202111458760 A,2021-12-02,2021-12-02,Bacillus subtilis self-induced gene expression system based on Lux quorum sensing element,JIANGSAN UNIV,ZHOU ZHEMIN;;CUI WENJING;;HAO WENLIANG;;YE CHENGFENG;;HAN LAICHUANG;;LIU ZHONGMEI;;ZHOU LI;;GUO JUNLING,,https://lens.org/015-894-646-082-050,PENDING
576,WO,A1,WO 2022/117686 A1,072-272-709-046-139,2022-06-09,2022,EP 2021083846 W,2021-12-01,2020-12-01,DNA CONSTRUCTS COMPRISING ALTERNATIVE PROMOTERS,ETH ZUERICH,DOSHI JITEN;;BENENSON YAAKOV,,https://lens.org/072-272-709-046-139,PENDING
577,RU,C1,RU 2673488 C1,080-989-459-480-482,2018-11-27,2018,RU 2018134884 A,2018-10-02,2018-10-02,METHOD OF PREVENTION OF CHRONIC FLUORINE INTOXICATION IN EXPERIMENT SIMULATION,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE NAUCHNOE UCHREZHDENIE NAUCHNO ISSLEDOVATELSKIJ INST KOMPLEKSN,MIKHAJLOVA NADEZHDA NIKOLAEVNA;;ZHUKOVA ANNA GENNADEVNA;;GOROKHOVA LARISA GENNADEVNA;;KIZICHENKO NATALYA VIKTOROVNA;;BUGAEVA MARIYA SERGEEVNA,,https://lens.org/080-989-459-480-482,ACTIVE
578,CN,A,CN 110610743 A,010-176-221-228-415,2019-12-24,2019,CN 201910760276 A,2019-08-16,2019-08-16,Method for constructing chromium reductase protein database,GUANGDONG INST ECO ENVIRONMENT & SOIL SCIENCES,HU MIN;;LIU CHUANPING;;LI FANGBAI,,https://lens.org/010-176-221-228-415,DISCONTINUED
579,CN,A,CN 114596915 A,164-978-459-625-276,2022-06-07,2022,CN 202210213693 A,2022-03-03,2022-03-03,Method for correcting and standardizing TCR beta high-throughput sequencing data based on template sequence and reference cell,CHINESE PEOPLE LIBERATION ARMY LAND ARMY AND MILITARY UNIV,WAN YING;;YU HAILI;;NI QINGSHAN;;ZOU LIYUN;;HAN QINGJUAN;;CHEN GANG;;HUANG YI;;ZENG CONG,,https://lens.org/164-978-459-625-276,PENDING
580,CN,A,CN 114525212 A,003-832-539-436-977,2022-05-24,2022,CN 202210099583 A,2022-01-27,2022-01-27,Monascus purpureus engineering bacterium and application thereof,UNIV FUJIAN AGRICULTURE & FORESTRY,HUANG ZHIWEI;;ZHANG YARU;;CHEN ZHITING;;PAN MENGYU;;CHEN LICHEN;;YE YANFANG;;ZHENG ZHENGHUAI,,https://lens.org/003-832-539-436-977,PENDING
581,US,A1,US 2016/0200847 A1,018-460-497-165-266,2016-07-14,2016,US 201514966793 A,2015-12-11,2014-12-12,CLICKABLE POLYMERS AND GELS FOR MICROARRAY AND OTHER APPLICATIONS,CHIARI MARCELLA,CHIARI MARCELLA,,https://lens.org/018-460-497-165-266,DISCONTINUED
582,CN,A,CN 104877668 A,018-280-597-051-030,2015-09-02,2015,CN 201510161497 A,2015-04-07,2015-04-07,Leave-on near-infrared lysosome probe,UNIV EAST CHINA SCIENCE & TECH,ZHU LINYONG;;ZHANG DASHENG;;XIA LIANG;;LIN QIUNING;;BAO CHUNYAN,,https://lens.org/018-280-597-051-030,DISCONTINUED
583,CN,A,CN 114645062 A,142-987-247-968-804,2022-06-21,2022,CN 202210402398 A,2022-04-18,2022-04-18,Dehydrated tetracycline-induced escherichia coli-bacillus subtilis universal inducible expression system,JIANGSAN UNIV,LIU LONG;;CHEN JIAN;;LYU XUEQIN;;PLUGOC CHENG;;LI JIANGHUA;;LIU YANFENG;;LI YANG;;WU YAOKANG,,https://lens.org/142-987-247-968-804,PENDING
584,CN,A,CN 114736265 A,023-904-907-861-658,2022-07-12,2022,CN 202210415908 A,2022-04-20,2022-04-20,Synthesis method of tetrapeptide-9,GUANGZHOU QIANXIANG BIOTECHNOLOGY CO LTD,JIANG AO;;ZHANG ZHIQIAN;;WU YIRUI;;LIU LIHUA;;HU YUCHENG;;WANG HAIMEI;;WANG JIAPENG,,https://lens.org/023-904-907-861-658,PENDING
585,CN,A,CN 112011555 A,101-769-998-718-379,2020-12-01,2020,CN 202010942875 A,2020-09-09,2020-09-09,Recombinant gene and recombinant plasmid for regulating self-cleavage of salmonella and application of recombinant gene and recombinant plasmid,UNIV SOUTHWEST,LIU QING;;KONG QINGKE;;TANG YIBO,,https://lens.org/101-769-998-718-379,PENDING
586,CN,A,CN 113005137 A,028-609-528-470-235,2021-06-22,2021,CN 202110211960 A,2021-02-25,2021-02-25,"Construction method of regulation and control element with starting and stopping double functions, double-function element library and application",UNIV SHIHEZI,ZHANG GENLIN;;LIU ZHENGYANG;;NI XIAOXIA;;ZHANG YAN,,https://lens.org/028-609-528-470-235,ACTIVE
587,CN,A,CN 107181485 A,054-205-609-847-50X,2017-09-19,2017,CN 201710387225 A,2017-05-27,2017-05-27,Preparation and application of label-free odd-even discriminator based on silver nanoclusters and graphene oxide,UNIV TAIZHOU,ZHANG SIQI;;HAN DEMAN,,https://lens.org/054-205-609-847-50X,DISCONTINUED
588,CN,A,CN 104101628 A,122-891-693-014-443,2014-10-15,2014,CN 201410268373 A,2014-06-16,2014-06-16,Gene circuit structure for realizing glioma marker detection,UNIV BEIHANG,WANG XIANG;;ZENG ZIZHEN;;CHEN HAN;;WANG WEIKE;;DU PEI;;LIU JINJING,,https://lens.org/122-891-693-014-443,ACTIVE
589,US,A1,US 2023/0000983 A1,152-436-569-773-374,2023-01-05,2023,US 202117344920 A,2021-06-10,2021-06-10,METHODS AND COMPOSITIONS FOR SYNTHESIS OF TWO-PHOTON CLEAVABLE PHOSPHORAMIDITE MOLECULES FOR OLIGONUCLEOTIDE CONJUGATION,UNIV CITY HONG KONG,LO PEGGY PIK KWAN;;LIU LING SUM;;TAM DICK YAN,CITY UNIVERSITY OF HONG KONG (2021-04-26),https://lens.org/152-436-569-773-374,PENDING
590,CN,A,CN 113817045 A,055-702-160-690-007,2021-12-21,2021,CN 202111390590 A,2021-11-23,2021-11-23,Clopidol artificial antigen synthesis method and colloidal gold kit detection method thereof,BEIJING NABAI BIOTECHNOLOGY CO LTD,CHEN ZHIQING;;YANG XIAOXIA;;LI JINGE;;ZHAO RONGMAO,,https://lens.org/055-702-160-690-007,ACTIVE
591,CN,A,CN 114805271 A,181-021-855-136-111,2022-07-29,2022,CN 202210274663 A,2022-03-21,2022-03-21,Preparation and application of pyrone compound with anti-inflammatory activity,UNIV ZHONGSHAN,GAO ZHIZENG;;YUAN SIWEN;;LIU LAN,,https://lens.org/181-021-855-136-111,PENDING
592,US,A1,US 2019/0247371 A1,029-254-531-318-767,2019-08-15,2019,US 201716335765 A,2017-09-21,2016-09-22,"METHODS FOR TREATING SMALL CELL LUNG CANCERS BY USING PHARMACEUTICAL COMPOSITIONS OR COMBINATIONS COMPRISING INDOLIZINO[6,7-B]INDOLE DERIVATIVES",SU TSANN LONG;;ACADEMIA SINICA,SU TSANN-LONG;;LEE TE-CHANG,,https://lens.org/029-254-531-318-767,DISCONTINUED
593,WO,A2,WO 2016/004213 A2,067-769-896-074-604,2016-01-07,2016,US 2015/0038849 W,2015-07-01,2014-07-01,HYDROGELS FOR TREATING AND AMELIORATING CANCERS AND POTENTIATING THE IMMUNE SYSTEM AND METHODS OF MAKING AND USING THEM,VICUS THERAPEUTICS LLC,MAKI JOHN;;BASCOMB NEWELL;;YOUNG FREDRIC,,https://lens.org/067-769-896-074-604,PENDING
594,KR,A,KR 20160117791 A,127-168-274-070-730,2016-10-11,2016,KR 20150045243 A,2015-03-31,2015-03-31,LXXV A method for production of gypenoside LXXV using ginsenoside glycosidase,INTELLIGENT SYNTHETIC BIOLOGY CT,IM WAN TAEK;;CUI CHANG HAO;;KIM SUN CHANG,,https://lens.org/127-168-274-070-730,ACTIVE
595,US,A1,US 2019/0352649 A1,130-647-620-771-940,2019-11-21,2019,US 201816176220 A,2018-10-31,2018-05-16,INCREASE OF GINSENOSIDE PRODUCTION BY IMPROVEMENT OF NADPH-RELATED BIOSYNTHETIC PATHWAY IN YEAST,INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN-CHANG;;LEE JU YOUNG;;KIM JAE EUNG;;JANG IN SEUNG;;JEGAL JONG GEON,,https://lens.org/130-647-620-771-940,DISCONTINUED
596,KR,A,KR 20160103588 A,166-333-554-532-830,2016-09-02,2016,KR 20150025845 A,2015-02-24,2015-02-24,GINSENOSIDE GLYCOSIDASE DERIVED FROM PSEUDONOCARDIA SP. AND METHOD FOR PRODUCING MINOR GINSENOSIDES WITH THE SAME,INTELLIGENT SYNTHETIC BIOLOGY CT,IM WAN TAEK;;CUI CHANG HAO;;KIM SUN CHANG,,https://lens.org/166-333-554-532-830,ACTIVE
597,AU,A1,AU 2018/256551 A1,118-546-911-389-090,2019-08-08,2019,AU 2018/256551 A,2018-10-31,2018-01-22,Producing method of antimicrobial peptide with enhanced adhesion and uses thereof,INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN-CHANG;;HWANG YOUNG EUN;;BUI LE MINH,,https://lens.org/118-546-911-389-090,ACTIVE
598,KR,A,KR 20220033826 A,030-356-543-283-197,2022-03-17,2022,KR 20200116158 A,2020-09-10,2020-09-10,F1 Composition for preventing or treating chronic rhinosinusitis comprising Ginsenoside F1,INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN CHANG;;KIM HUN SIK,,https://lens.org/030-356-543-283-197,ACTIVE
599,KR,B1,KR 101660834 B1,170-112-529-744-933,2016-10-11,2016,KR 20150059646 A,2015-04-28,2015-04-28,75 Anti-diabetic effects of Gypenoside 75,INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN CHANG;;PARK CHAN BAE;;LEE SOON JANG,,https://lens.org/170-112-529-744-933,ACTIVE
600,KR,A,KR 20170113519 A,189-610-347-671-755,2017-10-12,2017,KR 20170122032 A,2017-09-21,2017-09-21,Method for screening activator of mitochondria activity,INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN CHANG;;PARK CHAN BAE;;LEE SOON JANG,,https://lens.org/189-610-347-671-755,ACTIVE
601,KR,A,KR 20180121469 A,124-217-992-773-616,2018-11-07,2018,KR 20180132963 A,2018-11-01,2016-06-22,F1 Composition for enhancing immune response comprising ginsenoside F1,INTELLIGENT SYNTHETIC BIOLOGY CT,KIM SUN CHANG;;KIM HUN SIK,,https://lens.org/124-217-992-773-616,ACTIVE
602,CN,A,CN 110669684 A,159-466-912-347-068,2020-01-10,2020,CN 201811100955 A,2018-09-20,2018-09-20,Swine erysipelas vaccine enrichment medium,QINGDAO HOPE BIO TECH CO LTD,CAI XIANGRONG;;XU YINGJUN,,https://lens.org/159-466-912-347-068,PENDING
603,US,A1,US 2008/0265130 A1,060-810-259-222-675,2008-10-30,2008,US 88445306 A,2006-02-17,2005-02-23,Wave Front Sensing Method and Apparatus,COLOMB TRISTAN;;CUCHE ETIENNE;;ASPERT NICOLAS;;KUEHN JONAS;;MARQUET PIERRE;;DEPEURSINGE CHRISTIAN;;MONTFRONT FREDERIC;;CHARRIERE FLORIAN;;MARIAN ANCA;;BOURQUIN SEBASTIEN;;EMERY YVES;;HERMINJARD SILVAIN,COLOMB TRISTAN;;CUCHE ETIENNE;;ASPERT NICOLAS;;KUEHN JONAS;;MARQUET PIERRE;;DEPEURSINGE CHRISTIAN;;MONTFRONT FREDERIC;;CHARRIERE FLORIAN;;MARIAN ANCA;;BOURQUIN SEBASTIEN;;EMERY YVES;;HERMINJARD SILVAIN,LYNCEE TEC S.A (2007-10-10),https://lens.org/060-810-259-222-675,ACTIVE
604,CN,A,CN 108103141 A,042-480-234-298-743,2018-06-01,2018,CN 201810024578 A,2018-01-10,2018-01-10,Detection method of variation of drug resistance of bacteria,SHENZHEN INST ADV TECH,HUANG SHUQIANG;;WEN LINGLING;;GAO MENG,,https://lens.org/042-480-234-298-743,DISCONTINUED
605,CN,A,CN 109569720 A,033-893-730-242-780,2019-04-05,2019,CN 201811443725 A,2018-11-29,2018-11-29,Preparation method of metal monoatomic catalyst supported by carboxylated carbon-based material,UNIV JIANGNAN,DU LIYONG;;DING YUQIANG;;WANG KEYAN,,https://lens.org/033-893-730-242-780,DISCONTINUED
606,CN,A,CN 115216476 A,091-368-661-269-549,2022-10-21,2022,CN 202210940388 A,2022-08-06,2022-08-06,Method for rapidly optimizing escherichia coli promoter based on essential genes,UNIV ANHUI,FAN YANGYANG;;ZOU JUANJUAN;;XIAO XIANG;;PENG JIERU;;CAI XINLU;;HUANG JING;;WANG MIN;;TANG LING,,https://lens.org/091-368-661-269-549,PENDING
607,CN,A,CN 109385410 A,154-321-068-325-947,2019-02-26,2019,CN 201811067462 A,2018-09-13,2018-09-13,"RNA polymerase termination sequence of marine bacteriophage Syn5, identification method thereof and application of the sequence",UNIV HUAZHONG SCIENCE TECH;;UNIV HUAZHONG RES INST SCIENCE & TECHNOLOGY SHENZHEN,ZHU BIN;;WU HUI;;XIA HENG;;LU XUELING;;HUANG FENGTAO;;YU BINGBING;;YAN YAN;;CHENG RUI,,https://lens.org/154-321-068-325-947,DISCONTINUED
608,CN,A,CN 104232383 A,004-477-280-166-367,2014-12-24,2014,CN 201310235869 A,2013-06-16,2013-06-16,Green tea nursing concentrated laundry detergent,QINGDAO JIESHEN WASHING & DYEING TECHNOLOGY INST,JI XIAOLAN;;JIANG SHIWEN,,https://lens.org/004-477-280-166-367,DISCONTINUED
609,CN,A,CN 110181073 A,032-951-258-639-501,2019-08-30,2019,CN 201910540750 A,2019-06-21,2019-06-21,Synthetic method for preparing branched silver super-black material,UNIV TIANJIN,LIANG HONGYAN;;YAO KAILI;;QI WEITING;;REN HAO;;GAO CONGCONG;;HAN MEI,,https://lens.org/032-951-258-639-501,DISCONTINUED
610,CN,A,CN 114716535 A,053-463-327-343-907,2022-07-08,2022,CN 202210652985 A,2022-06-10,2022-06-10,Synthetic method of patulin artificial antigen and preparation and application of patulin artificial antigen monoclonal antibody,BEIJING NABAI BIOTECHNOLOGY CO LTD,CHEN ZHIQING;;ZHAO RONGMAO;;LIU JIA;;YUAN YINA;;LI JINGE,,https://lens.org/053-463-327-343-907,ACTIVE
611,CN,A,CN 108330136 A,052-191-148-661-202,2018-07-27,2018,CN 201710310871 A,2017-05-05,2017-05-05,"Method for constructing engineering strain for producing flavin mononucleotide, and applications of engineering strain",UNIV BEIHANG,WANG HUA;;YANG YUN;;GUO LIN,,https://lens.org/052-191-148-661-202,DISCONTINUED
612,US,B1,US 6506906 B1,133-224-546-627-581,2003-01-14,2003,US 41461199 A,1999-10-08,1996-02-26,Preparation and use of bifunctional molecules having DNA sequence binding specificity,CALIFORNIA INST OF TECHN,DERVAN PETER B,CALIFORNIA INSTITUTE OF TECHNOLOGY (2001-10-04);;GENESOFT INC (2000-01-06),https://lens.org/133-224-546-627-581,EXPIRED
613,CN,A,CN 104211100 A,143-123-606-031-158,2014-12-17,2014,CN 201410013144 A,2014-01-13,2014-01-13,Preparation method of amorphous BaF2,UNIV JILIN NORMAL,WANG JINGSHU;;YANG JINGHAI;;LI XIUYAN;;HU TINGJING;;LI BENCHUN,,https://lens.org/143-123-606-031-158,DISCONTINUED
614,CN,A,CN 113444254 A,017-743-001-144-407,2021-09-28,2021,CN 202110531817 A,2021-05-17,2021-05-17,Synthesis method of O-quaternized vanilla-based carbon residue particles based on amphiphilic biological carbon material,ZHEJIANG KEMANQI BIOLOGICAL TECH CO LTD,WU QIANG;;ZHOU ENHONG;;ZHOU QIMING;;JIN DAN,,https://lens.org/017-743-001-144-407,PENDING
615,CN,A,CN 108812317 A,042-190-782-689-897,2018-11-16,2018,CN 201810680621 A,2018-06-27,2018-06-27,Method for increasing RM (Rebaudioside M) content of stevia rebaudiana bertoni by utilizing callus,DONGTAI RUNYANG STEVIA HIGH TECH CO LTD,ZHENG CHENGSHU;;TANG QI;;ZHANG YONG;;LI CUNBIAO;;ZHANG LEI,,https://lens.org/042-190-782-689-897,DISCONTINUED
616,CN,A,CN 103484420 A,007-249-440-030-106,2014-01-01,2014,CN 201310482140 A,2013-10-15,2013-10-15,Genetic engineering strain taking tyrosine as substrate to synthesize naringenin and construction method thereof,UNIV JIANGNAN,CHEN JIAN;;ZHOU JINGWEN;;WU JUNJUN;;DU GUOCHENG,,https://lens.org/007-249-440-030-106,ACTIVE
617,CN,A,CN 106498009 A,133-060-966-094-242,2017-03-15,2017,CN 201610849755 A,2016-09-26,2016-09-26,Verbascoside biosynthesis pathway and verbascoside biosynthesis enzyme related genes,UNIV HENAN NORMAL,ZHOU YANQING;;WANG XIANGNAN;;DUAN HONGYING;;ZHANG LIANG;;ZHANG DANDAN;;YANG KE,,https://lens.org/133-060-966-094-242,DISCONTINUED
618,CN,A,CN 114774343 A,128-363-180-085-624,2022-07-22,2022,CN 202210571832 A,2022-05-24,2022-05-24,Escherichia coli engineering strain for producing 2 '-fucosyllactose and application,UNIV JIANGNAN,WU JING;;ZHANG KANG;;SU LINGQIA;;WANG LEI;;WANG LUYAO;;ZHANG MENGWEI;;CAI BOHAN;;LIU TONGLE;;WANG SHENG;;GAO SHENGQI,,https://lens.org/128-363-180-085-624,PENDING
619,CN,A,CN 112279923 A,091-320-277-701-728,2021-01-29,2021,CN 202010727887 A,2020-07-22,2019-07-22,Chimeric antigen receptor and application thereof,BEIJING ZHUTIAN TECH DEVELOPMENT CO LTD;;BEIJING ZHIHENG TECH CO LTD,LI XIAODONG,,https://lens.org/091-320-277-701-728,PENDING
620,CN,A,CN 115120738 A,057-846-173-865-465,2022-09-30,2022,CN 202210857719 A,2022-07-20,2022-07-20,Imiquimod prodrug nanoparticles as well as preparation method and application thereof,UNIV SHANDONG,ZHANG ZHIYUE;;HAO YANYUN;;LI HUI;;GE XIAOYAN,,https://lens.org/057-846-173-865-465,PENDING
621,CN,A,CN 109879779 A,098-465-483-667-139,2019-06-14,2019,CN 201910181094 A,2019-03-11,2019-03-11,Novel preparation method of diaryl ether compound and application thereof,UNIV CHINA THREE GORGES CTGU,WANG LONG;;LIU NA;;YANG QINGQING;;HU WEIMIN,,https://lens.org/098-465-483-667-139,DISCONTINUED
622,CN,A,CN 107858321 A,150-238-798-624-188,2018-03-30,2018,CN 201711182773 A,2017-11-23,2017-11-23,Preparation method of thylakoid-containing artificial cells and photosynthesis simulating method,HARBIN INST TECHNOLOGY,HAN XIAOJUN;;ZONG WEI,,https://lens.org/150-238-798-624-188,DISCONTINUED
623,RU,C1,RU 2105064 C1,163-581-338-911-784,1998-02-20,1998,RU 96114482 A,1996-07-19,1996-07-19,VECTOR PMT440 AT POSITIVE SELECTION FOR FOREIGN DNA FRAGMENTS CLONING,INST MOLEKULJARNOJ BIOLOG IM V;;TA RAN,DEEV S M;;JAZYNIN S A,,https://lens.org/163-581-338-911-784,EXPIRED
624,CN,B,CN 101595851 B,195-288-793-768-287,2011-08-03,2011,CN 200910141361 A,2009-05-25,2009-05-25,Method for breeding crabs and controlling diseases,YUNRONG KONG,YUNRONG KONG,,https://lens.org/195-288-793-768-287,INACTIVE
